tenure_months,monthly_charges,contract,support_calls,churned
68,33.9,two-year,4,no
45,89.86,month-to-month,1,no
49,65.22,month-to-month,1,no
64,75.41,one-year,0,no
42,95.04,month-to-month,0,no
56,26.67,month-to-month,1,no
60,50.4,two-year,1,no
16,74.38,one-year,0,yes
4,79.8,month-to-month,2,no
22,60.57,two-year,0,no
21,95.73,month-to-month,0,no
63,75.26,two-year,2,no
65,39.67,two-year,3,no
1,46.73,month-to-month,1,yes
36,90.14,month-to-month,2,no
59,81.6,month-to-month,2,no
10,22.52,two-year,0,no
57,103.69,month-to-month,2,no
9,84.95,month-to-month,1,no
34,103.58,two-year,1,no
58,60.41,one-year,1,no
22,62.61,one-year,0,no
25,41.84,one-year,3,no
20,133.42,month-to-month,1,yes
52,65.61,month-to-month,1,no
19,109.69,month-to-month,1,no
71,53.82,month-to-month,0,no
32,74.1,month-to-month,0,no
34,28.22,one-year,2,no
36,60.43,one-year,1,no
42,94.59,one-year,3,no
40,38.71,month-to-month,4,no
37,96.81,month-to-month,1,yes
71,78.43,two-year,2,no
58,43.9,month-to-month,1,no
57,57.46,month-to-month,2,no
50,58.52,month-to-month,2,yes
45,68.76,two-year,2,no
25,56.6,month-to-month,3,no
71,49.32,month-to-month,0,no
34,62.39,month-to-month,0,no
16,44.33,one-year,4,yes
61,37.76,two-year,2,no
12,68.8,one-year,2,no
61,92.07,month-to-month,0,no
44,31.77,month-to-month,0,no
9,70.09,one-year,0,no
4,53.75,two-year,0,no
32,45.57,month-to-month,3,no
3,91.34,one-year,0,no
11,57.05,month-to-month,2,yes
37,107.46,month-to-month,2,no
69,50.5,month-to-month,2,no
34,79.66,one-year,1,no
58,64.32,two-year,1,no
66,51.15,one-year,1,no
59,84.69,month-to-month,1,no
45,66.13,one-year,3,no
32,85.08,month-to-month,4,yes
37,68.82,month-to-month,3,yes
19,42.85,month-to-month,2,no
36,67.45,month-to-month,1,no
27,71.3,month-to-month,1,no
18,93.96,month-to-month,4,yes
